"SampleId"	"sample_name"	"batch"	"CMS"
"1"	1	"sample_14"	1	"CMS1"
"2"	2	"sample_17"	1	"CMS1"
"3"	3	"sample_68"	1	"CMS1"
"4"	4	"sample_71"	1	"CMS1"
"5"	5	"sample_67"	1	"CMS2"
"6"	6	"sample_69"	1	"CMS2"
"7"	7	"sample_15"	1	"CMS2"
"8"	8	"sample_72"	1	"CMS2"
"9"	9	"sample_107"	1	"CMS1"
"10"	10	"sample_70"	1	"CMS2"
"11"	11	"sample_30"	1	"CMS3"
"12"	12	"sample_29"	1	"CMS3"
"13"	13	"sample_4"	1	"CMS3"
"14"	14	"sample_31"	1	"CMS4"
"15"	15	"sample_12"	1	"CMS4"
"16"	16	"sample_33"	1	"CMS4"
"17"	17	"sample_2"	1	"CMS4"
"18"	18	"sample_16"	1	"CMS4"
"19"	19	"sample_34"	1	"CMS4"
"20"	20	"sample_14"	2	"CMS1"
"21"	21	"sample_17"	2	"CMS1"
"22"	22	"sample_68"	2	"CMS1"
"23"	23	"sample_71"	2	"CMS1"
"24"	24	"sample_67"	2	"CMS2"
"25"	25	"sample_69"	2	"CMS2"
"26"	26	"sample_108"	2	"CMS3"
"27"	27	"sample_15"	2	"CMS2"
"28"	28	"sample_72"	2	"CMS2"
"29"	29	"sample_70"	2	"CMS2"
"30"	30	"sample_30"	2	"CMS3"
"31"	31	"sample_29"	2	"CMS3"
"32"	32	"sample_4"	2	"CMS3"
"33"	33	"sample_31"	2	"CMS4"
"34"	34	"sample_12"	2	"CMS4"
"35"	35	"sample_33"	2	"CMS4"
"36"	36	"sample_2"	2	"CMS4"
"37"	37	"sample_16"	2	"CMS4"
"38"	38	"sample_34"	2	"CMS4"
"39"	39	"sample_14"	3	"CMS1"
"40"	40	"sample_17"	3	"CMS1"
"41"	41	"sample_68"	3	"CMS1"
"42"	42	"sample_71"	3	"CMS1"
"43"	43	"sample_67"	3	"CMS2"
"44"	44	"sample_69"	3	"CMS2"
"45"	45	"sample_15"	3	"CMS2"
"46"	46	"sample_72"	3	"CMS2"
"47"	47	"sample_70"	3	"CMS2"
"48"	48	"sample_30"	3	"CMS3"
"49"	49	"sample_29"	3	"CMS3"
"50"	50	"sample_4"	3	"CMS3"
"51"	51	"sample_31"	3	"CMS4"
"52"	52	"sample_12"	3	"CMS4"
"53"	53	"sample_33"	3	"CMS4"
"54"	54	"sample_2"	3	"CMS4"
"55"	55	"sample_16"	3	"CMS4"
"56"	56	"sample_34"	3	"CMS4"
