"ID"	"GB_ACC"	"Gene.Title"	"Gene.Symbol"
"1552563_PM_a_at"	"1552563_PM_a_at"	"NM_145656"	""	""
"229819_PM_at"	"229819_PM_at"	"AI022193"	"alpha-1-B glycoprotein"	"A1BG"
"220951_PM_s_at"	"220951_PM_s_at"	"NM_014576"	"APOBEC1 complementation factor"	"A1CF"
"1553422_PM_s_at"	"1553422_PM_s_at"	"NM_145892"	"ataxin 2-binding protein 1"	"A2BP1"
"232422_PM_at"	"232422_PM_at"	"BC001077"	"AIG2-like domain 1"	"A2LD1"
"1558450_PM_at"	"1558450_PM_at"	"BF056828"	"alpha-2-macroglobulin"	"A2M"
"1553505_PM_at"	"1553505_PM_at"	"NM_144670"	"alpha-2-macroglobulin-like 1"	"A2ML1"
"219488_PM_at"	"219488_PM_at"	"NM_017436"	"alpha 1,4-galactosyltransferase"	"A4GALT"
"221131_PM_at"	"221131_PM_at"	"NM_016161"	"alpha-1,4-N-acetylglucosaminyltransferase"	"A4GNT"
"1561490_PM_at"	"1561490_PM_at"	"BC031961"	"asthma-associated alternatively spliced gene 1"	"AAA1"
"218075_PM_at"	"218075_PM_at"	"NM_015665"	"achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)"	"AAAS"
"218434_PM_s_at"	"218434_PM_s_at"	"NM_023928"	"acetoacetyl-CoA synthetase"	"AACS"
"1570020_PM_at"	"1570020_PM_at"	"BC024222"	"acetoacetyl-CoA synthetase-like"	"AACSL"
"205969_PM_at"	"205969_PM_at"	"NM_001086"	"arylacetamide deacetylase (esterase)"	"AADAC"
"240420_PM_at"	"240420_PM_at"	"AA027115"	"arylacetamide deacetylase-like 2"	"AADACL2"
"223593_PM_at"	"223593_PM_at"	"AF097994"	"aminoadipate aminotransferase"	"AADAT"
"202851_PM_at"	"202851_PM_at"	"AL136715"	"alpha- and gamma-adaptin binding protein"	"AAGAB"
"205434_PM_s_at"	"205434_PM_s_at"	"AW451954"	"AP2 associated kinase 1"	"AAK1"
"201511_PM_at"	"201511_PM_at"	"NM_001087"	"angio-associated, migratory cell protein"	"AAMP"
"207225_PM_at"	"207225_PM_at"	"NM_001088"	"aralkylamine N-acetyltransferase"	"AANAT"
"201000_PM_at"	"201000_PM_at"	"NM_001605"	"alanyl-tRNA synthetase"	"AARS"
"230024_PM_at"	"230024_PM_at"	"AI183453"	"alanyl-tRNA synthetase 2, mitochondrial (putative)"	"AARS2"
"222064_PM_s_at"	"222064_PM_s_at"	"AI093187"	"alanyl-tRNA synthetase domain containing 1"	"AARSD1"
"228041_PM_at"	"228041_PM_at"	"AW772229"	"aminoadipate-semialdehyde dehydrogenase"	"AASDH"
"202169_PM_s_at"	"202169_PM_s_at"	"AF302110"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"AASDHPPT"
"210852_PM_s_at"	"210852_PM_s_at"	"AF229180"	"aminoadipate-semialdehyde synthase"	"AASS"
"209165_PM_at"	"209165_PM_at"	"AF083208"	"apoptosis antagonizing transcription factor"	"AATF"
"205986_PM_at"	"205986_PM_at"	"NM_004920"	"apoptosis-associated tyrosine kinase"	"AATK"
"206527_PM_at"	"206527_PM_at"	"NM_000663"	"4-aminobutyrate aminotransferase"	"ABAT"
"1570279_PM_at"	"1570279_PM_at"	"BC034824"	"ATP-binding cassette, sub-family A (ABC1), member 1"	"ABCA1"
"220159_PM_at"	"220159_PM_at"	"NM_024903"	"ATP-binding cassette, sub-family A (ABC1), member 11 (pseudogene)"	"ABCA11P"
"215465_PM_at"	"215465_PM_at"	"AL080207"	"ATP-binding cassette, sub-family A (ABC1), member 12"	"ABCA12"
"1553295_PM_at"	"1553295_PM_at"	"NM_152555"	"ATP-binding cassette, sub-family A (ABC1), member 13"	"ABCA13"
"231164_PM_at"	"231164_PM_at"	"AI570450"	"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene"	"ABCA17P"
"210099_PM_at"	"210099_PM_at"	"AF327657"	"ATP-binding cassette, sub-family A (ABC1), member 2"	"ABCA2"
"204343_PM_at"	"204343_PM_at"	"NM_001089"	"ATP-binding cassette, sub-family A (ABC1), member 3"	"ABCA3"
"1569102_PM_at"	"1569102_PM_at"	"U66691"	"ATP-binding cassette, sub-family A (ABC1), member 4"	"ABCA4"
"213353_PM_at"	"213353_PM_at"	"BF693921"	"ATP-binding cassette, sub-family A (ABC1), member 5"	"ABCA5"
"217504_PM_at"	"217504_PM_at"	"AA099357"	"ATP-binding cassette, sub-family A (ABC1), member 6"	"ABCA6"
"219577_PM_s_at"	"219577_PM_s_at"	"NM_019112"	"ATP-binding cassette, sub-family A (ABC1), member 7"	"ABCA7"
"1565778_PM_at"	"1565778_PM_at"	"AK090894"	"ATP-binding cassette, sub-family A (ABC1), member 8"	"ABCA8"
"235335_PM_at"	"235335_PM_at"	"AI446543"	"ATP-binding cassette, sub-family A (ABC1), member 9"	"ABCA9"
"209993_PM_at"	"209993_PM_at"	"AF016535"	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	"ABCB1"
"209994_PM_s_at"	"209994_PM_s_at"	"AF016535"	"ATP-binding cassette, sub-family B (MDR/TAP), member 1 /// ATP-binding cassette, sub-family B (MDR/TAP), member 4"	"ABCB1 /// ABCB4"
"223320_PM_s_at"	"223320_PM_s_at"	"AF277184"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"	"ABCB10"
"208288_PM_at"	"208288_PM_at"	"NM_003742"	"ATP-binding cassette, sub-family B (MDR/TAP), member 11"	"ABCB11"
"1570505_PM_at"	"1570505_PM_at"	"BC020618"	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"	"ABCB4"
"1555371_PM_at"	"1555371_PM_at"	"AF319622"	"ATP-binding cassette, sub-family B (MDR/TAP), member 5"	"ABCB5"
"203191_PM_at"	"203191_PM_at"	"AF308472"	"ATP-binding cassette, sub-family B (MDR/TAP), member 6"	"ABCB6"
"209620_PM_s_at"	"209620_PM_s_at"	"AB005289"	"ATP-binding cassette, sub-family B (MDR/TAP), member 7"	"ABCB7"
"206317_PM_s_at"	"206317_PM_s_at"	"NM_007188"	"ATP-binding cassette, sub-family B (MDR/TAP), member 8"	"ABCB8"
"1555323_PM_at"	"1555323_PM_at"	"BC017348"	"ATP-binding cassette, sub-family B (MDR/TAP), member 9"	"ABCB9"
"202804_PM_at"	"202804_PM_at"	"AI539710"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"	"ABCC1"
"213485_PM_s_at"	"213485_PM_s_at"	"AK000002"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 10"	"ABCC10"
"1554911_PM_at"	"1554911_PM_at"	"BC039085"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 11"	"ABCC11"
"1552590_PM_a_at"	"1552590_PM_a_at"	"NM_145189"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"	"ABCC12"
"1552582_PM_at"	"1552582_PM_at"	"NM_172025"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene"	"ABCC13"
"206155_PM_at"	"206155_PM_at"	"NM_000392"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"	"ABCC2"
"208161_PM_s_at"	"208161_PM_s_at"	"NM_020037"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"	"ABCC3"
"1554918_PM_a_at"	"1554918_PM_a_at"	"BC041560"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"	"ABCC4"
"1558460_PM_at"	"1558460_PM_at"	"AL707614"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"	"ABCC5"
"214033_PM_at"	"214033_PM_at"	"AI084637"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6 /// ATP-binding cassette, sub-family C, member 6 pseudogene 2"	"ABCC6 /// ABCC6P2"
"208480_PM_s_at"	"208480_PM_s_at"	"NM_001171"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6 /// hypothetical protein LOC100292715"	"ABCC6 /// LOC100292715"
"236205_PM_at"	"236205_PM_at"	"AW300488"	"ATP-binding cassette, sub-family C, member 6 pseudogene 1"	"ABCC6P1"
"210245_PM_at"	"210245_PM_at"	"L78207"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"	"ABCC8"
"1557374_PM_at"	"1557374_PM_at"	"AK056519"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"	"ABCC9"
"205142_PM_x_at"	"205142_PM_x_at"	"NM_000033"	"ATP-binding cassette, sub-family D (ALD), member 1"	"ABCD1"
"207583_PM_at"	"207583_PM_at"	"NM_005164"	"ATP-binding cassette, sub-family D (ALD), member 2"	"ABCD2"
"1554878_PM_a_at"	"1554878_PM_a_at"	"BC009712"	"ATP-binding cassette, sub-family D (ALD), member 3"	"ABCD3"
"203981_PM_s_at"	"203981_PM_s_at"	"AL574660"	"ATP-binding cassette, sub-family D (ALD), member 4"	"ABCD4"
"201872_PM_s_at"	"201872_PM_s_at"	"AI002002"	"ATP-binding cassette, sub-family E (OABP), member 1"	"ABCE1"
"200045_PM_at"	"200045_PM_at"	"NM_001090"	"ATP-binding cassette, sub-family F (GCN20), member 1"	"ABCF1"
"207622_PM_s_at"	"207622_PM_s_at"	"NM_005692"	"ATP-binding cassette, sub-family F (GCN20), member 2"	"ABCF2"
"202394_PM_s_at"	"202394_PM_s_at"	"NM_018358"	"ATP-binding cassette, sub-family F (GCN20), member 3"	"ABCF3"
"204567_PM_s_at"	"204567_PM_s_at"	"NM_004915"	"ATP-binding cassette, sub-family G (WHITE), member 1"	"ABCG1"
"209735_PM_at"	"209735_PM_at"	"AF098951"	"ATP-binding cassette, sub-family G (WHITE), member 2"	"ABCG2"
"207593_PM_at"	"207593_PM_at"	"NM_022169"	"ATP-binding cassette, sub-family G (WHITE), member 4"	"ABCG4"
"220383_PM_at"	"220383_PM_at"	"NM_022436"	"ATP-binding cassette, sub-family G (WHITE), member 5"	"ABCG5"
"231751_PM_at"	"231751_PM_at"	"NM_022437"	"ATP-binding cassette, sub-family G (WHITE), member 8"	"ABCG8"
"1560117_PM_at"	"1560117_PM_at"	"BC028378"	"abhydrolase domain containing 1"	"ABHD1"
"218633_PM_x_at"	"218633_PM_x_at"	"NM_018394"	"abhydrolase domain containing 10"	"ABHD10"
"1552470_PM_a_at"	"1552470_PM_a_at"	"NM_148914"	"abhydrolase domain containing 11"	"ABHD11"
"224742_PM_at"	"224742_PM_at"	"BF570412"	"abhydrolase domain containing 12"	"ABHD12"
"1564357_PM_at"	"1564357_PM_at"	"AK057860"	"abhydrolase domain containing 12B"	"ABHD12B"
"234993_PM_at"	"234993_PM_at"	"BE301702"	"abhydrolase domain containing 13"	"ABHD13"
"210006_PM_at"	"210006_PM_at"	"BC002571"	"abhydrolase domain containing 14A"	"ABHD14A"
"224821_PM_at"	"224821_PM_at"	"AL520200"	"abhydrolase domain containing 14B"	"ABHD14B"
"226796_PM_at"	"226796_PM_at"	"AI817418"	"abhydrolase domain containing 15"	"ABHD15"
"205566_PM_at"	"205566_PM_at"	"NM_007011"	"abhydrolase domain containing 2"	"ABHD2"
"213017_PM_at"	"213017_PM_at"	"AL534702"	"abhydrolase domain containing 3"	"ABHD3"
"218581_PM_at"	"218581_PM_at"	"NM_022060"	"abhydrolase domain containing 4"	"ABHD4"
"213805_PM_at"	"213805_PM_at"	"AI692428"	"abhydrolase domain containing 5"	"ABHD5"
"221552_PM_at"	"221552_PM_at"	"BC001698"	"abhydrolase domain containing 6"	"ABHD6"
"219101_PM_x_at"	"219101_PM_x_at"	"NM_024527"	"abhydrolase domain containing 8"	"ABHD8"
"1559890_PM_a_at"	"1559890_PM_a_at"	"BF194851"	"abl-interactor 1"	"ABI1"
"207268_PM_x_at"	"207268_PM_x_at"	"NM_005759"	"abl-interactor 2"	"ABI2"
"223615_PM_at"	"223615_PM_at"	"AL136709"	"ABI family, member 3"	"ABI3"
"1559077_PM_at"	"1559077_PM_at"	"AL833204"	"ABI family, member 3 (NESH) binding protein"	"ABI3BP"
"202123_PM_s_at"	"202123_PM_s_at"	"NM_005157"	"c-abl oncogene 1, receptor tyrosine kinase"	"ABL1"
"206411_PM_s_at"	"206411_PM_s_at"	"NM_007314"	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)"	"ABL2"
"200965_PM_s_at"	"200965_PM_s_at"	"NM_006720"	"actin binding LIM protein 1"	"ABLIM1"
"1567622_PM_at"	"1567622_PM_at"	"AJ431609"	"Actin binding LIM protein family, member 2"	"ABLIM2"
"205730_PM_s_at"	"205730_PM_s_at"	"NM_014945"	"actin binding LIM protein family, member 3"	"ABLIM3"
"214504_PM_at"	"214504_PM_at"	"NM_020469"	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"	"ABO"
"203559_PM_s_at"	"203559_PM_s_at"	"NM_001091"	"amiloride binding protein 1 (amine oxidase (copper-containing))"	"ABP1"
"212895_PM_s_at"	"212895_PM_s_at"	"AL527773"	"active BCR-related gene"	"ABR"
"1552731_PM_at"	"1552731_PM_at"	"NM_139166"	"actin-binding Rho activating protein"	"ABRA"
"218405_PM_at"	"218405_PM_at"	"NM_013375"	"activator of basal transcription 1"	"ABT1"
"226442_PM_at"	"226442_PM_at"	"H06267"	"ankyrin repeat and BTB (POZ) domain containing 1"	"ABTB1"
"213497_PM_at"	"213497_PM_at"	"AL050374"	"ankyrin repeat and BTB (POZ) domain containing 2"	"ABTB2"
"202025_PM_x_at"	"202025_PM_x_at"	"NM_001607"	"acetyl-CoA acyltransferase 1"	"ACAA1"
"202002_PM_at"	"202002_PM_at"	"AW072302"	"acetyl-CoA acyltransferase 2"	"ACAA2"
"212186_PM_at"	"212186_PM_at"	"BE855983"	"acetyl-CoA carboxylase alpha"	"ACACA"
"1552615_PM_at"	"1552615_PM_at"	"NM_001093"	"acetyl-CoA carboxylase beta"	"ACACB"
"219986_PM_s_at"	"219986_PM_s_at"	"NM_025247"	"acyl-CoA dehydrogenase family, member 10"	"ACAD10"
"225573_PM_at"	"225573_PM_at"	"AL518293"	"acyl-CoA dehydrogenase family, member 11 /// nephronophthisis 3 (adolescent)"	"ACAD11 /// NPHP3"
"221669_PM_s_at"	"221669_PM_s_at"	"BC001964"	"acyl-CoA dehydrogenase family, member 8"	"ACAD8"
"224160_PM_s_at"	"224160_PM_s_at"	"BC001817"	"acyl-CoA dehydrogenase family, member 9"	"ACAD9"
